participant,carbonara_1,carbonara_2,carbonara_3,carbonara_4,carbonara_5,ramen_1,ramen_2,ramen_3,ramen_4,ramen_5,fritto_misto_1,fritto_misto_2,fritto_misto_3,fritto_misto_4,fritto_misto_5,tiramisu_1,tiramisu_2,tiramisu_3,tiramisu_4,tiramisu_5,budino_1,budino_2,budino_3,budino_4,budino_5,vellutata_di_zucca_1,vellutata_di_zucca_2,vellutata_di_zucca_3,vellutata_di_zucca_4,vellutata_di_zucca_5,mela_alla_cannella_1,mela_alla_cannella_2,mela_alla_cannella_3,mela_alla_cannella_4,mela_alla_cannella_5,torta_ai_frutti_di_bosco_1,torta_ai_frutti_di_bosco_2,torta_ai_frutti_di_bosco_3,torta_ai_frutti_di_bosco_4,torta_ai_frutti_di_bosco_5,pompelmo_1,pompelmo_2,pompelmo_3,pompelmo_4,pompelmo_5,pomodoro_1,pomodoro_2,pomodoro_3,pomodoro_4,pomodoro_5,spremuta_arancia_1,spremuta_arancia_2,spremuta_arancia_3,spremuta_arancia_4,spremuta_arancia_5,cioccolato_fondente_1,cioccolato_fondente_2,cioccolato_fondente_3,cioccolato_fondente_4,cioccolato_fondente_5,radicchio_1,radicchio_2,radicchio_3,radicchio_4,radicchio_5,rucola_1,rucola_2,rucola_3,rucola_4,rucola_5,te_verde_1,te_verde_2,te_verde_3,te_verde_4,te_verde_5,salsa_agropiccante_1,salsa_agropiccante_2,salsa_agropiccante_3,salsa_agropiccante_4,salsa_agropiccante_5,pollo_al_curry_1,pollo_al_curry_2,pollo_al_curry_3,pollo_al_curry_4,pollo_al_curry_5,diavola_1,diavola_2,diavola_3,diavola_4,diavola_5,salsa_wasabi_1,salsa_wasabi_2,salsa_wasabi_3,salsa_wasabi_4,salsa_wasabi_5,cioccolato_al_latte_1,cioccolato_al_latte_2,cioccolato_al_latte_3,cioccolato_al_latte_4,cioccolato_al_latte_5,gender,ethnicity,age,hearing_experience,eating_experience,hearing_impairments,taste_impairments,device,CLIENT_start,TIME_start,TIME_end,TIME_total
s.0003276e-649a-4fd4-8de3-c710a172f6ba.txt,"","","","","","","","","","",1,6,1,3,2,3,1,1,1,1,"","","","","","","","","","",1,3,1,4,1,"","","","","",5,1,1,3,1,"","","","","","","","","","",1,3,2,4,1,1,1,1,7,1,"","","","","",3,2,1,3,1,4,4,2,1,2,3,1,7,1,1,4,7,1,1,1,"","","","","","","","","","",2,9,24,2,3,1,2,1,2026-01-14-14-25,2026-01-14-13-25,2026-01-14-16-06,161
s.0061c16c-dd4e-4ec4-81f7-c47e3c1ca48c.txt,1,3,1,1,1,1,1,5,1,1,1,3,1,1,1,"","","","","",1,1,1,1,1,"","","","","","","","","","","","","","","",1,1,3,1,5,1,1,1,1,4,"","","","","","","","","","",1,1,1,1,4,"","","","","",1,1,1,3,1,2,1,1,1,1,"","","","","","","","","","","","","","","",1,1,1,1,1,2,9,57,3,3,2,1,4,2026-01-15-21-47,2026-01-15-20-47,2026-01-15-20-53,6
s.010b5e89-6ed1-46ba-a220-4c93acde0a82.txt,5,1,5,1,7,"","","","","","","","","","","","","","","",5,1,1,1,4,4,1,1,1,5,1,1,1,5,1,1,6,1,1,1,1,1,6,1,1,1,1,5,1,7,"","","","","","","","","","","","","","","",4,1,1,3,1,1,1,1,6,1,"","","","","",1,1,6,1,7,"","","","","","","","","","","","","","","",2,6,55,2,2,2,2,2,2026-01-16-10-07,2026-01-16-09-07,2026-01-16-09-12,5
s.043ce085-9c8f-49f0-9256-f60b357c9660.txt,"","","","","",2,4,1,3,6,"","","","","","","","","","","","","","","",1,2,4,4,1,1,2,1,1,1,"","","","","",4,1,6,6,7,"","","","","",1,3,4,4,6,"","","","","",3,1,6,5,5,3,2,4,5,4,2,1,5,6,5,4,1,3,2,1,"","","","","",1,5,3,1,4,"","","","","","","","","","",2,9,52,3,3,2,2,2,2026-01-15-20-57,2026-01-15-19-57,2026-01-15-20-08,11
s.0d8c7721-39f2-4ba3-948f-29b6798eac01.txt,"","","","","","","","","","",5,1,1,1,2,1,7,1,1,1,"","","","","","","","","","",5,5,1,1,1,3,5,1,1,2,"","","","","","","","","","",4,3,1,1,2,"","","","","",1,1,3,6,1,"","","","","",1,1,1,7,1,"","","","","",1,1,6,1,1,4,1,1,1,5,7,1,7,1,4,"","","","","",2,9,54,3,2,2,2,2,2026-01-23-14-00,2026-01-23-13-00,2026-01-23-13-09,9
s.0d96a025-12f7-49c1-81e5-70c7b5a90f2e.txt,"","","","","",1,4,1,1,7,"","","","","","","","","","",1,6,1,1,1,6,1,1,1,1,1,5,1,5,1,6,1,7,6,1,7,1,6,5,1,"","","","","","","","","","",1,1,1,4,3,"","","","","","","","","","",3,1,1,7,4,3,1,6,6,4,"","","","","","","","","","","","","","","",1,7,1,1,4,2,9,24,3,3,2,2,2,2026-01-14-13-30,2026-01-14-12-30,2026-01-14-12-34,4
s.11088113-82bc-4e69-85ac-dbbd3881f1d5.txt,4,2,2,2,5,5,2,2,1,2,3,1,2,2,2,"","","","","",2,4,1,1,1,"","","","","","","","","","","","","","","",1,1,3,1,1,3,1,3,2,2,"","","","","",3,3,1,3,1,2,3,3,6,2,"","","","","",1,2,2,4,1,"","","","","","","","","","","","","","","",1,1,1,1,1,"","","","","",1,9,23,3,2,2,2,2,2026-01-14-19-11,2026-01-14-18-11,2026-01-14-18-17,6
s.1571187f-b0c9-459f-8ad8-929c47594e15.txt,"","","","","","","","","","","","","","","","","","","","",4,3,3,3,4,1,7,1,1,3,"","","","","","","","","","","","","","","",3,1,6,5,5,2,5,2,2,2,"","","","","","","","","","",3,3,3,3,2,2,3,2,5,3,4,3,5,3,5,3,1,5,5,5,4,4,5,6,5,4,1,5,3,6,"","","","","",2,9,58,3,3,2,2,2,2026-01-17-16-28,2026-01-17-15-28,2026-01-17-15-34,6
s.18bec1e1-5953-48d6-8365-cf2bc148e64a.txt,5,4,2,2,5,5,3,1,2,4,"","","","","","","","","","","","","","","",3,5,1,3,1,1,5,3,3,3,"","","","","","","","","","","","","","","",5,3,1,3,3,"","","","","",1,1,2,6,3,3,3,3,3,3,"","","","","","","","","","",1,1,6,3,4,5,5,3,4,3,"","","","","",1,6,1,3,1,1,9,59,2,2,2,2,2,2026-01-15-20-44,2026-01-15-19-44,2026-01-15-19-53,9
s.1a2ab095-acef-4d34-942f-03debcbdb9e3.txt,3,4,3,3,6,"","","","","","","","","","",3,3,3,3,4,"","","","","","","","","","",3,3,3,3,6,"","","","","",3,3,6,4,5,4,3,7,4,4,3,6,3,4,3,5,3,3,4,5,3,3,3,6,5,"","","","","","","","","","","","","","","",6,2,2,3,3,5,2,2,2,5,"","","","","","","","","","",2,6,95,3,3,2,2,2,2026-01-14-16-57,2026-01-14-15-57,2026-01-14-16-05,8
s.1acb7af1-d6db-4db7-9dc1-cae92c474c6d.txt,1,5,1,1,4,"","","","","",6,4,5,1,6,1,7,1,4,1,4,5,3,6,3,1,4,1,5,1,"","","","","",1,5,2,7,5,1,1,5,3,6,"","","","","","","","","","","","","","","","","","","","","","","","","",1,4,1,7,1,5,1,6,3,6,"","","","","",4,1,5,6,4,"","","","","","","","","","",2,9,55,3,3,2,2,2,2026-01-16-15-14,2026-01-16-14-14,2026-01-16-14-24,10
s.1f91f951-9c96-46e5-9ee5-395fff5f99ca.txt,"","","","","",5,4,2,2,2,"","","","","",1,1,1,1,1,3,4,1,3,1,"","","","","",2,4,4,2,1,"","","","","","","","","","",3,4,2,3,2,"","","","","","","","","","","","","","","","","","","","",1,1,1,1,1,4,2,2,3,5,3,2,4,1,1,"","","","","",2,1,5,5,1,1,1,1,1,1,2,9,24,2,3,2,2,1,2026-01-14-18-41,2026-01-14-17-41,2026-01-14-17-48,7
s.2be715cc-fb27-4d9c-b9c3-fc3047dfad3c.txt,"","","","","","","","","","",3,4,1,1,3,1,6,1,1,1,4,3,3,1,1,"","","","","","","","","","","","","","","","","","","","",4,1,5,1,1,"","","","","",5,1,1,4,1,"","","","","",4,3,3,1,1,3,1,1,6,1,5,1,3,1,4,5,1,7,3,5,"","","","","","","","","","",1,6,1,1,1,2,9,57,3,2,2,2,2,2026-01-16-11-29,2026-01-16-10-29,2026-01-16-10-37,8
s.2c4241cc-634d-4300-b4cb-79e05c7bda87.txt,"","","","","","","","","","",5,3,1,3,7,3,5,1,7,2,5,4,1,3,4,3,4,2,6,3,"","","","","",3,5,1,2,4,6,1,5,5,1,5,3,5,3,4,4,5,2,3,4,"","","","","",5,3,2,6,3,"","","","","","","","","","","","","","","",4,3,5,6,1,"","","","","","","","","","","","","","","",1,9,27,3,2,2,2,1,2026-01-18-12-13,2026-01-18-11-13,2026-01-18-11-18,5
s.2d3b9e83-2a64-4b7c-b337-f2f34844b755.txt,4,2,2,5,4,5,3,5,4,7,5,1,1,1,5,1,7,1,1,1,1,3,1,1,1,1,7,1,3,1,"","","","","",1,5,4,3,1,5,1,1,3,7,"","","","","","","","","","","","","","","","","","","","",6,6,3,3,1,"","","","","","","","","","","","","","","","","","","","",3,1,6,3,1,"","","","","",2,9,54,3,3,2,2,2,2026-01-14-18-49,2026-01-14-17-49,2026-01-14-18-01,12
s.2e07c8b2-aff6-475d-b129-a4830e2bda27.txt,5,4,2,2,5,"","","","","",6,2,1,2,5,1,5,3,7,1,"","","","","","","","","","","","","","","",2,6,2,3,1,"","","","","",4,2,5,3,2,"","","","","","","","","","",1,1,3,7,1,"","","","","","","","","","",4,1,6,4,4,"","","","","",6,3,1,1,5,3,1,4,5,4,2,7,2,4,1,2,9,24,2,3,2,2,2,2026-01-14-16-49,2026-01-14-15-49,2026-01-14-15-55,6
s.2f7fda1e-6029-4562-8134-0a3cfc399909.txt,"","","","","",7,1,2,3,7,"","","","","","","","","","","","","","","","","","","","",2,5,1,2,1,"","","","","",3,1,7,7,1,4,3,5,2,3,"","","","","","","","","","",1,3,1,4,1,"","","","","",1,5,1,3,1,6,2,5,3,5,2,2,7,5,4,"","","","","",5,1,7,5,3,1,5,1,3,1,2,11,24,2,2,1,1,1,2026-01-14-13-22,2026-01-14-12-22,2026-01-14-12-28,6
s.39b59fc7-0629-4a2f-8a41-1b20291d1d13.txt,"","","","","","","","","","","","","","","","","","","","",1,5,1,1,1,"","","","","","","","","","","","","","","",1,1,6,1,1,"","","","","",5,1,1,1,7,"","","","","",1,1,1,6,1,1,1,1,4,3,1,1,1,6,1,1,1,1,1,6,1,1,3,1,7,5,3,2,1,5,"","","","","",1,7,1,1,1,2,9,49,3,3,2,2,2,2026-01-14-21-07,2026-01-14-20-07,2026-01-14-20-14,7
s.3a291e6e-cbd9-410c-81aa-d1e49530e1f6.txt,"","","","","","","","","","","","","","","",1,1,1,3,1,"","","","","",1,2,1,6,1,"","","","","","","","","","",1,1,1,1,1,"","","","","","","","","","",4,4,1,1,1,1,1,1,7,1,"","","","","",1,3,1,1,1,6,1,4,1,4,6,1,7,3,7,6,1,6,1,7,5,1,6,2,6,"","","","","",2,9,55,2,3,2,2,2,2026-01-16-07-45,2026-01-16-06-45,2026-01-16-06-53,8
s.3d39df51-3820-4aa3-913f-5e723e814166.txt,7,2,4,1,1,4,1,4,1,2,"","","","","",1,7,1,1,1,4,2,1,1,2,1,7,2,2,2,"","","","","",3,6,1,1,1,3,1,7,4,1,"","","","","","","","","","","","","","","",1,6,1,7,1,"","","","","","","","","","","","","","","","","","","","",6,1,2,1,4,"","","","","",1,7,1,2,1,2,9,23,3,3,2,2,2,2026-01-13-21-08,2026-01-13-20-08,2026-01-13-20-14,6
s.3edd8081-e35e-47a2-8837-5a9afc3ec6d8.txt,5,5,1,1,6,"","","","","",4,5,1,2,4,3,6,1,4,4,"","","","","","","","","","",5,5,1,1,4,"","","","","",1,1,7,7,2,5,3,4,2,6,"","","","","",4,1,4,6,1,"","","","","","","","","","","","","","","","","","","","",5,1,6,1,5,"","","","","",4,2,5,5,6,1,5,1,2,1,2,9,62,2,2,2,2,2,2026-01-13-21-08,2026-01-13-20-08,2026-01-13-20-17,9
s.41d88ea5-4189-425e-b9f4-2d28d5f0e234.txt,2,5,1,1,3,"","","","","","","","","","",1,5,1,4,1,4,2,1,2,1,1,4,1,4,1,"","","","","","","","","","","","","","","","","","","","",5,1,6,1,4,5,1,5,4,1,3,1,1,5,1,"","","","","","","","","","","","","","","","","","","","",1,5,2,1,2,1,1,7,1,1,1,6,3,2,1,1,9,18,2,2,1,2,1,2026-01-14-13-59,2026-01-14-12-59,2026-01-14-13-07,8
s.57d79a6f-e663-4cec-b2f9-3d70c7f203ba.txt,5,1,1,1,5,"","","","","","","","","","","","","","","",1,5,1,1,1,2,4,3,4,1,2,4,1,3,2,"","","","","","","","","","","","","","","",4,3,1,2,1,"","","","","","","","","","",3,4,3,2,2,6,1,5,5,5,"","","","","",4,1,5,5,5,1,4,1,3,4,7,1,7,7,7,"","","","","",2,9,76,2,3,2,2,2,2026-01-14-19-14,2026-01-14-18-14,2026-01-14-18-31,17
s.69b34dab-3121-486b-ad89-de14455f24dd.txt,"","","","","",7,1,5,4,7,1,7,2,2,3,"","","","","",4,4,2,2,1,"","","","","",1,7,1,1,1,"","","","","",1,1,7,7,5,1,7,5,1,1,5,3,1,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","",4,2,7,5,3,5,5,3,2,4,6,4,1,3,5,"","","","","",1,9,23,2,3,2,2,1,2026-02-01-23-22,2026-02-01-22-22,2026-02-01-22-28,6
s.69bdaee1-ade8-4e1f-8fab-ea4722d3ef72.txt,4,4,4,1,4,"","","","","","","","","","","","","","","",1,6,3,1,1,"","","","","",1,2,1,4,1,1,6,2,3,1,"","","","","",1,2,4,2,1,"","","","","",2,1,1,5,1,"","","","","","","","","","","","","","","",7,2,6,1,1,4,2,5,3,1,5,2,2,2,3,4,4,2,2,6,"","","","","",1,9,23,3,3,2,2,1,2026-01-13-21-57,2026-01-13-20-57,2026-01-13-21-01,4
s.6c68d7df-f7b9-4e60-8283-9cde115dbd1b.txt,7,2,1,1,7,5,4,2,2,6,6,1,2,2,7,"","","","","","","","","","",4,6,1,1,1,"","","","","","","","","","",1,1,7,1,1,6,3,1,1,4,"","","","","",1,5,2,6,1,"","","","","","","","","","",1,4,3,7,1,"","","","","",4,1,6,3,4,"","","","","",4,1,5,4,4,"","","","","",2,9,51,3,3,2,2,2,2026-01-14-17-46,2026-01-14-16-46,2026-01-14-16-56,10
s.6e0b44e0-7c03-4e1e-af83-1b8a4599af68.txt,6,3,2,2,4,"","","","","",6,4,3,1,4,"","","","","","","","","","",2,5,4,3,1,6,2,2,7,3,4,7,1,1,1,"","","","","","","","","","",1,6,5,2,3,6,3,2,4,1,"","","","","","","","","","","","","","","","","","","","",1,1,7,1,1,5,2,4,1,3,5,1,4,5,6,"","","","","",2,6,25,2,3,2,2,1,2026-01-15-15-21,2026-01-15-14-21,2026-01-15-14-27,6
s.6f9b14bf-9f56-4c47-8f88-4871de405468.txt,3,1,5,1,4,4,1,5,6,5,1,5,1,1,1,1,7,1,3,1,"","","","","","","","","","",6,1,3,5,6,6,1,6,6,1,7,1,7,1,4,"","","","","","","","","","","","","","","",5,1,4,7,2,"","","","","","","","","","",7,1,4,4,1,5,1,7,4,3,"","","","","","","","","","","","","","","",2,9,26,3,3,2,2,2,2026-01-14-00-07,2026-01-13-23-07,2026-01-13-23-17,10
s.6fd62153-42bd-4921-adfe-0c40b16dbf75.txt,1,3,1,3,1,4,1,1,1,2,"","","","","",1,5,1,1,1,3,2,1,1,1,1,2,1,3,1,3,7,1,1,1,1,1,2,3,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,1,1,1,3,1,1,3,2,1,"","","","","","","","","","",4,1,1,2,1,1,9,26,3,3,2,2,1,2026-01-14-19-50,2026-01-14-18-50,2026-01-14-18-56,6
s.70735e43-bf1d-4201-af45-d37cc1d13410.txt,5,3,2,1,3,7,3,1,2,3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,7,1,1,"","","","","",5,4,3,1,1,1,5,1,5,1,5,1,4,6,1,2,4,1,2,1,"","","","","",6,1,4,4,4,"","","","","",6,1,2,1,5,"","","","","",2,7,1,1,1,2,9,27,3,3,2,2,1,2026-01-16-08-10,2026-01-16-07-10,2026-01-16-07-24,14
s.75b9553b-09bb-41e1-9c7b-c6e3a8d6e2fe.txt,"","","","","","","","","","","","","","","",3,6,1,2,1,2,4,3,3,1,2,6,3,2,4,"","","","","",3,4,5,3,4,"","","","","","","","","","",5,4,2,4,5,"","","","","",3,2,2,6,4,"","","","","",3,2,4,6,3,5,3,4,3,4,4,3,5,3,3,"","","","","",3,2,5,3,4,"","","","","",2,9,60,3,3,2,2,2,2026-01-17-15-37,2026-01-17-14-37,2026-01-17-14-49,12
s.827fdd8c-bba5-4e75-ac8c-57be1bb2219d.txt,"","","","","",7,3,1,1,5,"","","","","",1,7,1,1,1,5,6,1,1,2,"","","","","",1,7,1,1,1,"","","","","","","","","","",3,1,7,7,1,"","","","","",1,2,2,4,1,3,1,3,6,3,"","","","","","","","","","",7,3,4,1,5,"","","","","",5,1,1,1,6,"","","","","",1,7,1,1,1,2,9,20,2,2,2,2,2,2026-01-15-20-43,2026-01-15-19-43,2026-01-15-19-53,10
s.841b89a0-0885-4dc5-9687-5623a944a0aa.txt,"","","","","",1,7,1,1,1,2,4,2,2,2,5,1,4,5,1,1,4,1,1,3,"","","","","","","","","","",5,1,1,5,1,"","","","","",3,1,4,5,1,"","","","","",5,1,1,1,1,"","","","","","","","","","","","","","","",1,1,4,4,1,"","","","","","","","","","",1,1,1,5,1,5,1,1,5,1,1,9,19,3,3,2,2,2,2026-01-14-20-07,2026-01-14-19-07,2026-01-14-19-17,10
s.845d41d4-adca-4349-9567-7206c6204cc5.txt,6,4,3,2,5,"","","","","",4,3,3,2,4,3,5,3,5,2,4,4,4,2,4,3,3,2,4,3,"","","","","",6,4,5,4,5,"","","","","","","","","","","","","","","",4,4,2,4,5,"","","","","","","","","","",2,3,3,6,4,"","","","","",6,1,7,3,6,"","","","","","","","","","",4,5,2,3,3,1,9,55,3,3,2,2,2,2026-01-13-20-13,2026-01-13-19-13,2026-01-13-19-27,14
s.8f5905cf-70b4-424f-87a4-6fa248a93c72.txt,4,4,1,1,4,5,1,3,1,5,5,3,1,1,1,"","","","","","","","","","",2,2,1,4,1,"","","","","","","","","","","","","","","",6,1,5,1,4,"","","","","",1,4,2,4,1,"","","","","","","","","","",1,2,5,2,1,"","","","","",2,1,6,1,2,6,2,2,1,3,1,1,7,1,3,"","","","","",1,9,28,1,2,1,2,2,2026-01-19-11-25,2026-01-19-10-25,2026-01-19-10-30,5
s.91d8c4e3-f3af-4983-bf3b-142599ff8f12.txt,1,4,1,1,1,1,1,1,1,5,2,1,1,1,2,"","","","","",1,3,1,1,1,"","","","","","","","","","","","","","","",1,1,1,1,1,"","","","","","","","","","",1,3,1,1,1,"","","","","","","","","","","","","","","",2,1,3,3,2,1,1,1,1,1,"","","","","",1,1,3,1,1,1,3,1,1,1,1,9,18,2,2,2,2,1,2026-01-13-20-28,2026-01-13-19-28,2026-01-13-19-34,6
s.94957aa4-9ec3-4335-ad7e-04d5fe3c1052.txt,4,4,3,1,6,6,3,1,1,5,4,5,1,1,3,"","","","","",5,4,1,1,3,"","","","","",3,6,1,1,2,4,3,4,4,3,"","","","","","","","","","",1,6,1,1,3,"","","","","","","","","","","","","","","","","","","","",3,3,3,3,5,"","","","","","","","","","",5,3,3,6,3,1,7,1,1,1,1,9,23,2,3,2,2,2,2026-01-16-08-08,2026-01-16-07-08,2026-01-16-07-21,13
s.987d27b3-b824-487a-a32e-f720f047e21c.txt,5,1,3,1,7,5,1,5,1,7,"","","","","","","","","","",5,3,4,2,4,1,3,1,7,1,1,7,1,5,1,"","","","","",1,1,3,1,1,4,1,6,1,5,"","","","","","","","","","","","","","","",1,1,1,7,1,"","","","","",1,1,1,1,1,"","","","","","","","","","","","","","","",1,4,1,6,1,2,9,31,3,3,2,2,2,2026-01-16-08-05,2026-01-16-07-05,2026-01-16-07-24,19
s.99558ca5-0f4f-4a8e-afa3-a5a1ed1f4701.txt,"","","","","","","","","","","","","","","",1,5,1,1,1,1,5,1,1,1,"","","","","","","","","","","","","","","",7,1,4,4,4,4,3,1,1,2,3,2,1,1,3,1,2,3,4,2,1,3,1,1,3,"","","","","","","","","","",2,4,1,1,1,"","","","","",2,4,2,2,2,"","","","","",1,6,1,1,2,1,9,60,2,3,1,2,2,2026-01-13-20-36,2026-01-13-19-36,2026-01-13-19-42,6
s.9bd7bddc-4e6c-4b22-8ba3-8374b1c3d842.txt,"","","","","","","","","","","","","","","","","","","","",1,2,1,1,1,3,2,1,1,1,"","","","","",2,1,1,3,1,1,1,1,1,1,1,1,2,1,1,"","","","","","","","","","","","","","","",1,2,1,2,1,"","","","","",1,1,3,1,1,1,1,2,1,1,"","","","","",1,1,1,1,1,1,3,1,1,1,1,6,23,2,3,2,2,2,2026-01-13-22-22,2026-01-13-21-22,2026-01-13-21-26,4
s.bd48a116-212d-4ab8-bf24-5ff287823404.txt,4,1,1,3,4,"","","","","",4,1,1,1,1,"","","","","",3,4,1,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,"","","","","","","","","","",1,1,3,1,1,5,1,1,1,3,1,1,4,5,1,1,1,1,1,1,2,6,48,3,2,2,2,2,2026-01-29-17-47,2026-01-29-16-47,2026-01-29-16-56,9
s.c1246b5f-186c-4b24-a0cf-74f108267eae.txt,"","","","","",2,6,3,2,5,"","","","","",4,6,2,1,1,4,1,2,3,3,"","","","","",4,5,2,1,1,"","","","","","","","","","",6,1,5,2,5,"","","","","",1,6,1,1,1,1,1,6,6,1,"","","","","",3,2,5,5,2,"","","","","",1,1,7,2,5,"","","","","",5,1,5,3,3,"","","","","",1,9,60,1,3,2,2,2,2026-01-14-18-33,2026-01-14-17-33,2026-01-14-17-42,9
s.c7dbd8a0-70ce-4102-a82c-43657369c484.txt,1,4,1,1,1,1,2,1,1,1,"","","","","",1,6,1,1,1,1,5,1,1,1,"","","","","","","","","","",1,4,3,1,1,7,1,7,6,1,"","","","","","","","","","",1,1,2,7,1,1,1,2,6,1,"","","","","","","","","","","","","","","",5,1,4,3,1,"","","","","","","","","","",1,6,1,1,1,2,6,62,3,3,2,2,2,2026-01-14-16-30,2026-01-14-15-30,2026-01-14-15-35,5
s.e44c12ec-53cf-4efc-865f-660c3f14739f.txt,7,3,5,5,7,"","","","","","","","","","",5,5,2,6,1,3,4,5,2,4,"","","","","","","","","","",3,2,4,7,5,"","","","","",5,3,6,4,6,5,2,6,2,7,3,3,5,4,5,"","","","","",5,1,4,3,5,"","","","","",7,1,5,1,6,5,2,7,2,6,"","","","","","","","","","","","","","","",1,9,67,3,2,2,1,2,2026-01-15-12-42,2026-01-15-11-42,2026-01-15-11-50,8
s.e704cdd7-5e93-4ab3-9d89-47a847854912.txt,7,1,6,1,3,5,4,3,1,1,"","","","","",2,7,2,1,2,2,7,4,1,4,"","","","","","","","","","","","","","","","","","","","",4,1,5,3,7,7,1,7,1,3,"","","","","",3,1,1,7,3,1,7,1,1,1,"","","","","",7,1,6,3,7,"","","","","",7,5,3,1,4,"","","","","","","","","","",2,9,19,3,3,2,2,2,2026-01-13-20-08,2026-01-13-19-08,2026-01-13-19-16,8
s.e7fcba46-9aed-4a25-837c-4a1b417190c1.txt,"","","","","",6,1,3,1,7,"","","","","",1,4,1,6,1,1,5,2,1,1,1,2,1,6,1,"","","","","","","","","","","","","","","",5,1,6,1,2,"","","","","",1,6,1,2,2,"","","","","",1,1,1,5,1,1,4,1,2,1,"","","","","",5,1,6,1,2,5,1,2,1,6,"","","","","","","","","","",2,9,23,1,3,2,2,1,2026-01-13-21-48,2026-01-13-20-48,2026-01-13-20-54,6
s.eb561baf-a05c-43db-abba-4f9354da61f4.txt,"","","","","",3,3,3,3,5,2,4,3,2,3,"","","","","","","","","","","","","","","","","","","","","","","","","",5,1,5,4,6,4,3,3,3,3,"","","","","","","","","","",4,2,4,3,3,5,3,4,3,5,2,3,3,4,2,3,3,4,4,3,2,2,6,4,3,"","","","","","","","","","",1,5,2,2,3,2,6,49,2,2,2,2,2,2026-01-15-21-57,2026-01-15-20-57,2026-01-15-21-04,7
s.ede14fa8-20ef-41fa-ab3c-fa7b783dabc4.txt,"","","","","",6,2,2,2,6,"","","","","","","","","","","","","","","",3,3,3,5,5,"","","","","",4,3,2,6,4,5,2,6,2,5,5,4,6,3,5,6,5,3,4,4,6,5,4,5,2,5,1,1,6,3,"","","","","",7,3,1,6,2,5,3,5,2,6,"","","","","","","","","","","","","","","","","","","","",1,9,24,1,2,2,2,1,2026-01-14-22-15,2026-01-14-21-15,2026-01-14-21-20,5
s.f5869666-6144-4545-9c57-a03036347b9b.txt,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3,6,1,1,1,"","","","","","","","","","","","","","","",5,1,3,1,3,1,4,3,1,1,1,1,4,3,1,1,5,1,1,1,2,2,1,1,1,6,1,5,5,5,"","","","","",6,3,1,1,7,1,1,6,6,5,1,7,1,1,1,2,9,63,3,3,2,2,2,2026-01-14-08-42,2026-01-14-07-42,2026-01-14-07-53,11
